ID,Tienda,Producto,Categoría,URL de Compra,URL de Imagen
11,Alaniz,Chaqueta Aviadora Efecto Cuero con Cuello de Borrego,Casual/Formal,https://www.paris.cl/chaqueta-aviadora-efecto-cuero-con-cuello-de-borrego-294336.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/cl/paris/294336/variant/68dd320a03eaeb31f32a075f/images/c7fe9743-9896-4219-81e9-5a675346a536/294336-0260-002.jpg
12,Opposite,Parka Diseño Puffa,Casual,https://www.paris.cl/parka-diseno-puffa-279487.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/1920x0/cl/paris/279487/variant/68d540dda82344954550f259/images/44ab2aac-7dbc-4d06-9586-9c04ea91f7ce/279487-0604-002.jpg
13,Marittimo,Abrigo Sastrero con Lana,Formal/Casual,https://www.paris.cl/abrigo-sastrero-con-lana-279616.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/cl/paris/279616/variant/69907b0a494bf18aedbf5a06/images/949d1db5-ddfa-4cb1-af97-9b614c836192/279616-0305-002.jpg
14,Alaniz,Chaqueta Pelo con Solapa,Casual/Formal,https://www.paris.cl/chaqueta-pelo-con-solapa-294357.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/1920x0/cl/paris/294357/variant/68dd334857080e9cf2d870ad/images/11fd2840-211e-4c3a-b2f7-878edf8ff1bb/294357-0314-002.jpg
15,Opposite,Abrigo Básico con Cuadros,Formal/Casual,https://www.paris.cl/abrigo-basico-con-cuadros-357532.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/cl/paris/357532/variant/69cc2ad29bb0266ca254044a/images/6e3ee357-2bfb-461e-ad90-90e34c2eba39/357532-0961-002.jpg
16,Rainforest,Chaqueta Sherpa Silueta Boxy y Cuello Solapa,Casual/Formal,https://www.paris.cl/chaqueta-sherpa-silueta-boxy-y-cuello-solapa-375471.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/cl/paris/375471/variant/69a9fc6f113e107b2a8f92ab/images/59516dc9-1077-4c8d-8897-a02da3b48313/375471-0271-002.jpg
17,Opposite,Chaqueta Cortaviento Cuello Funnel,Casual/Sport,https://www.paris.cl/chaqueta-cortaviento-cuello-funnel-351813.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/cl/paris/351813/variant/693b20d0142ca7771228b3bc/images/4cf33479-f628-4029-98ff-7a5af883d759/351813-0625-002.jpg
18,Opposite,Chaqueta Básica Oversized,Casual,https://www.paris.cl/chaqueta-basica-oversized-199031.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/cl/paris/199031/variant/69b44c54a52955aedd05833f/images/3a1888c7-be63-40f6-b03e-a10e9235179e/199031-0420-002.jpg
19,Opposite,Polera Ajustada,Casual,https://www.paris.cl/polera-ajustada-290147.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/cl/paris/290147/variant/69bc230e580dad8e0ff45ace/images/c4c95901-fa7b-4b38-93f6-6ebb3b1c93a8/290147-0001-002.jpg
20,Opposite,Polera Ajustada,Casual,https://www.paris.cl/polera-ajustada-290147.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/cl/paris/290147/variant/69bc230e580dad8e0ff45ad0/images/d7b1f0bc-a472-4918-8f2a-fa6487250836/290147-0206-002.jpg
21,Alaniz,Polera Tipo Beatle de Cuello Mock en Tela Fluida,Casual,https://www.paris.cl/polera-tipo-beatle-de-cuello-mock-en-tela-fluida-estampada-294331.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/cl/paris/294331/variant/68dd320a03eaeb31f32a06e8/images/331e31c5-00d7-40b3-892c-a62f5199f357/294331-0960-002.jpg
22,Opposite,Polera con Lazo en Cuello,Casual/Formal,https://www.paris.cl/polera-con-lazo-en-cuello-337201.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/cl/paris/337201/variant/692462f0dcfdfb9fd47008a8/images/4ac59cb1-088b-4631-93f0-216081b8a017/337201-0605-002.jpg
23,Opposite,Polera Oversize,Casual,https://www.paris.cl/polera-oversize-212968.html,https://cl-dam-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/cl/paris/212968/variant/691ce3d17a075d212b634149/images/5ecbaf27-5fc1-4968-a44d-717a2e837a9b/212968-0101-002.jpg
24,TNK,Polera Manga Larga De Mujer Cuello Redondo Basica,Casual/Formal,https://www.paris.cl/polera-manga-larga-de-mujer-cuello-redondo-basica-estampar-unisex-MKYD6IJV5C.html,https://cl-cenco-pim-resizer.ecomm.cencosud.com/unsafe/adaptive-fit-in/792x1068/prd-cl/product-medias/7dd506ab-4ae3-411d-8e36-4822faf6ce34/MKYD6IJV5C/MKYD6IJV5C-3/1776173304025-MKYD6IJV5C-3-2.jpg
25,Lolita Pocket,ABRIGO MILANO camel,Casual/Formal,ABRIGO MILANO camel,abirgo_milano_camel.jpg (1000×1500)
26,Lolita Pocket,CHALECO PORTOFINO café,Casual,CHALECO PORTOFINO café,tejido_portofino_cafe_1.jpg (800×1120)
27,Lolita Pocket,BLUSA JOSEFINA blanco,Casual,BLUSA JOSEFINA blanco,blusa_josefina_blanca_4.jpg (800×1120)
28,Lolita Pocket,CHALECO DOVER G gris claro,Casual,CHALECO DOVER G gris claro,chaleco-dover-gris_2.jpg (800×1120)
29,Lolita Pocket,FALDA ESMERALDA blanco,Casual,FALDA ESMERALDA blanco,Falda_esmeralda_blanca.jpg (1000×1500)
30,Arrow,Camisa Formal Texturada Tailored Fit Blanco Arrow,Casual / Formal,Camisa Formal Texturada Tailored Fit Blanco Arrow,camisa-formal-texturada-tailored-fit-blanco-arrow.jpg (1104×1600)
31,Mingo,Botín de Cuero Mujer,Casual/Formal,Botines de cuero para mujer marca Mingo,botin-cuero-mujer.jpg (2000×2000)
32,Mingo,Bota Cuero Mujer,Casual/Formal,Bota casual de cuero para mujer Mingo - Elegancia y confort,bota-casual-mingo.jpg (1500×1500)
33,Mingo,Zapato Cuero Mujer,Casual/Formal,Zapato de Tacón Aguja Negro con Detalle Exclusivo - MINGO,zapato-cuero-mujer.jpg (1500×1500)
34,Mingo,Mocasín Mujer,Casual / Formal,"Mocasín de cuero negro MINGO para mujer, elegancia formal",mocasn-mujer.jpg (1500×1500)
35,Privilege,Vestido NEGRO - S,Casual/Formal,Vestido Negro - Privilege,4006006_900_1.jpg (1100×1650)
36,Privilege,Vestido ROJO - S,Casual ,Vestido - Privilege,4005986_600_1.jpg (1100×1650)
37,Privilege,Vestido Flores CAFE - S,Casual,Vestido Flores - Privilege,4005926_700_1.jpg (1100×1650)
38,Privilege,Sweater AZUL MARINO - S,Casual,Sweater Azul Marino - Privilege,7900036_100_1.jpg (1100×1650)
39,Privilege,Cardigan Melange VERDE - S,Casual,Cardigan Melange Verde - Privilege,7900066_360_1.jpg (1100×1650)
40,Privilege,Cardigan ROJO - S,Casual,Cardigan Rojo - Privilege,7900096_600_1.jpg (1100×1650)
41,Privilege,Polera BLANCO - S,Casual,Polera - Privilege,2800026_200_1.jpg (1100×1650)
42,Privilege,Sweater MULTICOLOR - M,Casual,Sweater - Privilege,5414306_260_1.jpg (1100×1650)
43,Privilege,Blusa Lyocell AZUL - S,Casual,Blusa Lyocell Azul - Privilege,4520886_101_2.jpg (1100×1650)
44,Privilege,Blusa BEIGE - S,Casual,Blusa - Privilege,4520836_730_2.jpg (1100×1650)
45,Nautica,Parka Manga Larga Con Gorro Quilted Larga Verde Mujer,Casual,Parka Manga Larga Con Gorro Quilted Larga Verde Mujer – Nautica,117004078_OLIVE_001_2048x2048.jpg (1516×2048)
46,Nautica,Polera Pique Manga Larga Abotonada Blanca Mujer,Casual,Polera Pique Manga Larga Abotonada Blanca Mujer – Nautica,0K7031_1BW_001_2048x2048.jpg (1516×2048)
47,Nautica,Polera Pique Sin Botones Sustainably Crafted Azul Marino Mujer,Casual,Polera Pique Sin Botones Sustainably Crafted Azul Marino Mujer – Nautica,15K133_4VN_001_83f39e4c-5472-4285-8e75-0f88eb2d51e9_2048x2048.jpg (1516×2048)
48,Nautica,Polar Nautex Medio Cierre Manga Larga Azul Marino Mujer,Casual,Polar Nautex Medio Cierre Manga Larga Azul Marino Mujer – Nautica,37K406_4VN_001_2048x2048.jpg (1516×2048)
49,Nautica,Polar Nautex Medio Cierre Manga Larga Rosado Mujer,Casual,Polar Nautex Medio Cierre Manga Larga Rosado Mujer – Nautica,37K406_6XA_001_2048x2048.jpg (1516×2048)
